mu,variance_lockin_EP2_pair_B
0.012000000000000002,291.6823236132482
0.013910049495386502,187.26983299952312
0.016124123080341852,120.23351266985395
0.01869061250977157,77.19394702966646
0.021665612092501053,49.56110260539159
0.025114144712877824,31.81988984877121
0.029111582999202475,20.42943632722488
0.033745296700663216,13.116383200245554
0.03911656227856067,8.421157857753455
0.04534277644867895,5.406665738798239
0.052560022054947426,3.471260710754535
0.06092604235524372,2.2286657811887087
0.0706236887266212,1.430878167304931
0.08186491714450583,0.9186717662976777
0.09489542078464924,0.5898180805917204
0.11,0.378682986628676
